date,home,away,home_score,away_score
2025-03-14,HOU,WAS,1,2
2025-03-14,ORL,CHI,6,0
2025-03-15,KC,POR,3,1
2025-03-15,UTA,BFC,1,1
2025-03-15,RGN,NJY,1,1
2025-03-15,LOU,NC,1,1
2025-03-16,LA,SD,1,1
2025-03-21,POR,LA,1,1
2025-03-22,NC,RGN,1,2
2025-03-22,WAS,KC,0,2
2025-03-22,SD,UTA,3,2
2025-03-22,BFC,LOU,2,0
2025-03-23,CHI,HOU,1,2
2025-03-23,NJY,ORL,0,2
2025-03-28,HOU,NJY,0,0
2025-03-28,WAS,BFC,2,0
2025-03-29,ORL,SD,2,1
2025-03-29,KC,UTA,3,0
2025-03-29,POR,NC,0,0
2025-03-30,CHI,LOU,0,1
2025-03-30,LA,RGN,2,1
2025-04-11,UTA,POR,0,1
2025-04-12,HOU,LA,1,3
2025-04-12,RGN,ORL,0,1
2025-04-12,LOU,WAS,0,2
2025-04-12,SD,KC,0,2
2025-04-13,BFC,CHI,1,2
2025-04-13,NJY,NC,3,1
2025-04-18,RGN,POR,1,0
2025-04-18,UTA,CHI,1,0
2025-04-18,LA,NJY,0,4
2025-04-19,LOU,SD,1,4
2025-04-19,ORL,WAS,0,1
2025-04-19,KC,HOU,2,0
2025-04-19,NC,BFC,0,1
2025-04-22,POR,NJY,4,1
2025-04-25,HOU,UTA,1,0
2025-04-25,ORL,LA,3,2
2025-04-26,WAS,NJY,0,3
2025-04-26,CHI,SD,0,3
2025-04-26,NC,KC,3,2
2025-04-26,BFC,RGN,1,1
2025-04-27,POR,LOU,3,3
2025-05-02,HOU,LOU,1,2
2025-05-02,RGN,KC,1,0
2025-05-02,WAS,LA,3,4
2025-05-03,POR,ORL,1,0
2025-05-03,UTA,NC,0,2
2025-05-04,NJY,CHI,0,0
2025-05-04,SD,BFC,2,1
2025-05-09,LA,UTA,2,0
2025-05-09,LOU,NJY,1,0
2025-05-10,CHI,WAS,2,3
2025-05-10,NC,ORL,1,1
2025-05-10,SD,POR,1,1
2025-05-11,KC,BFC,4,1
2025-05-11,RGN,HOU,0,1
2025-05-16,LOU,RGN,0,1
2025-05-16,NJY,SD,0,1
2025-05-16,HOU,POR,1,4
2025-05-16,ORL,KC,0,1
2025-05-17,NC,CHI,2,0
2025-05-17,WAS,UTA,3,3
2025-05-17,BFC,LA,2,0
2025-05-23,RGN,WAS,1,2
2025-05-23,UTA,ORL,1,3
2025-05-24,CHI,KC,1,3
2025-05-24,LA,LOU,2,3
2025-05-24,HOU,BFC,2,2
2025-05-25,SD,NC,5,2
2025-06-06,LOU,UTA,3,2
2025-06-06,SD,RGN,1,2
2025-06-07,NJY,KC,1,2
2025-06-07,BFC,POR,1,0
2025-06-07,ORL,HOU,1,0
2025-06-07,LA,CHI,2,2
2025-06-08,WAS,NC,3,1
2025-06-13,BFC,ORL,0,1
2025-06-13,HOU,SD,2,3
2025-06-13,UTA,NJY,0,3
2025-06-14,CHI,RGN,2,2
2025-06-14,KC,LOU,4,2
2025-06-14,LA,NC,1,2
2025-06-15,POR,WAS,2,0
2025-06-20,KC,LA,1,0
2025-06-20,LOU,ORL,2,0
2025-06-21,UTA,RGN,1,4
2025-06-21,NJY,BFC,2,1
2025-06-21,NC,HOU,2,1
2025-06-21,POR,CHI,1,0
2025-06-22,SD,WAS,0,0
2025-08-01,CHI,NJY,1,1
2025-08-01,RGN,LA,2,0
2025-08-01,LOU,KC,0,2
2025-08-02,NC,SD,0,0
2025-08-02,BFC,HOU,2,2
2025-08-03,WAS,POR,2,1
2025-08-03,ORL,UTA,1,1
2025-08-08,HOU,NC,2,1
2025-08-08,UTA,KC,0,1
2025-08-09,NJY,WAS,0,0
2025-08-09,ORL,LOU,1,1
2025-08-09,SD,LA,1,1
2025-08-10,POR,RGN,4,2
2025-08-10,CHI,BFC,1,1
2025-08-15,UTA,LA,0,0
2025-08-15,WAS,LOU,2,2
2025-08-16,KC,ORL,0,0
2025-08-16,NC,POR,1,1
2025-08-16,BFC,SD,1,2
2025-08-17,NJY,HOU,1,2
2025-08-18,RGN,CHI,3,3
2025-08-21,LA,ORL,1,0
2025-08-22,CHI,NC,3,3
2025-08-23,BFC,WAS,2,3
2025-08-23,NJY,UTA,0,0
2025-08-23,POR,KC,0,2
2025-08-24,HOU,RGN,1,1
2025-08-24,SD,LOU,0,1
2025-08-29,LOU,HOU,1,1
2025-08-29,RGN,SD,0,0
2025-08-29,POR,UTA,1,2
2025-08-29,ORL,NJY,0,2
2025-08-30,KC,NC,2,0
2025-08-31,WAS,CHI,1,1
2025-09-01,LA,BFC,2,1
2025-09-05,LOU,POR,1,2
2025-09-06,NC,UTA,1,1
2025-09-06,BFC,KC,0,2
2025-09-07,CHI,ORL,5,2
2025-09-07,WAS,RGN,2,0
2025-09-07,NJY,LA,3,1
2025-09-07,SD,HOU,0,3
2025-09-12,SD,NJY,0,2
2025-09-13,NC,LA,2,1
