date,time,home,away
2024-03-16,13:00:00,KCC,POR
2024-03-16,16:00:00,LOU,ORL
2024-03-16,19:00:00,NC,HOU
2024-03-16,19:30:00,UTA,CHI
2024-03-16,22:00:00,LA,BFC
2024-03-17,18:00:00,RGN,WAS
2024-03-22,20:00:00,ORL,LA
2024-03-22,21:30:00,UTA,NC
2024-03-23,16:00:00,CHI,RGN
2024-03-23,19:30:00,WAS,BFC
2024-03-23,20:30:00,HOU,LOU
2024-03-23,22:00:00,SD,KCC
2024-03-24,19:00:00,POR,NJNY
2024-03-29,19:00:00,ORL,CHI
2024-03-29,22:00:00,SD,RGN
2024-03-30,14:30:00,KCC,LA
2024-03-30,19:00:00,NC,NJNY
2024-03-30,19:30:00,POR,LOU
2024-03-30,22:00:00,BFC,HOU
2024-03-31,13:00:00,WAS,UTA
2024-04-12,20:00:00,HOU,WAS
2024-04-12,21:30:00,UTA,ORL
2024-04-13,19:00:00,LOU,SD
2024-04-13,19:00:00,NC,POR
2024-04-13,21:30:00,CHI,LA
2024-04-14,18:00:00,NJNY,KCC
2024-04-14,20:00:00,BFC,RGN
2024-04-19,20:00:00,ORL,SD
2024-04-20,13:00:00,WAS,NJNY
2024-04-20,17:00:00,LOU,UTA
2024-04-20,19:30:00,KCC,BFC
2024-04-20,22:00:00,POR,HOU
2024-04-21,18:00:00,RGN,CHI
2024-04-21,19:30:00,LA,NC
2024-04-26,19:30:00,WAS,ORL
2024-04-26,22:00:00,LA,KCC
2024-04-27,19:00:00,NC,RGN
2024-04-27,19:30:00,UTA,HOU
2024-04-27,19:30:00,CHI,POR
2024-04-27,22:00:00,SD,BFC
2024-04-28,17:00:00,NJNY,LOU
2024-05-01,19:00:00,ORL,NC
2024-05-01,20:00:00,CHI,WAS
2024-05-01,22:00:00,BFC,POR
2024-05-03,21:30:00,UTA,LA
2024-05-03,22:00:00,RGN,SD
2024-05-04,19:30:00,NJNY,NC
2024-05-04,22:00:00,POR,WAS
2024-05-05,13:00:00,HOU,KCC
2024-05-05,18:00:00,ORL,LOU
2024-05-05,20:00:00,BFC,CHI
2024-05-08,20:00:00,HOU,NJNY
2024-05-08,22:00:00,SD,UTA
2024-05-08,22:00:00,RGN,KCC
2024-05-10,20:00:00,LOU,WAS
2024-05-11,19:30:00,ORL,BFC
2024-05-11,22:00:00,POR,RGN
2024-05-12,17:30:00,CHI,UTA
2024-05-12,18:00:00,KCC,NC
2024-05-12,19:30:00,LA,HOU
2024-05-12,20:00:00,SD,NJNY
2024-05-17,20:00:00,HOU,POR
2024-05-17,20:00:00,NC,UTA
2024-05-17,22:30:00,BFC,SD
2024-05-18,19:30:00,WAS,LA
2024-05-18,21:30:00,KCC,LOU
2024-05-19,17:00:00,NJNY,CHI
2024-05-19,18:00:00,RGN,ORL
2024-05-23,22:00:00,LA,SD
2024-05-24,19:00:00,ORL,POR
2024-05-24,19:30:00,WAS,RGN
2024-05-24,20:00:00,HOU,NC
2024-05-24,22:00:00,BFC,NJNY
2024-05-25,19:30:00,CHI,LOU
2024-05-25,22:00:00,UTA,KCC
2024-06-07,20:00:00,LOU,HOU
2024-06-07,22:00:00,SD,ORL
2024-06-08,12:30:00,NJNY,LA
2024-06-08,19:30:00,UTA,WAS
2024-06-08,22:00:00,POR,NC
2024-06-09,16:00:00,CHI,BFC
2024-06-09,18:00:00,KCC,RGN
2024-06-14,20:00:00,KCC,CHI
2024-06-15,13:00:00,LOU,NJNY
2024-06-15,19:00:00,WAS,SD
2024-06-15,19:30:00,NC,ORL
2024-06-15,21:30:00,HOU,LA
2024-06-16,16:00:00,RGN,POR
2024-06-16,22:00:00,BFC,UTA
2024-06-19,19:00:00,NJNY,SD
2024-06-19,22:00:00,LA,LOU
2024-06-21,20:00:00,ORL,UTA
