number,position,name,birthday,age,caps,goals,club,country
1,GK,Solène Durand,20 November 1994,24,0,0,France Guingamp,France
2,DF,Ève Périsset,24 December 1994,24,14,0,France Paris Saint-Germain,France
3,DF,Wendie Renard,20 July 1990,28,109,20,France Lyon,France
4,DF,Marion Torrent,17 April 1992,27,21,0,France Montpellier,France
5,DF,Aïssatou Tounkara,16 March 1995,24,11,0,Spain Atlético Madrid,France
6,MF,Amandine Henry,28 September 1989,29,83,11,France Lyon,France
7,DF,Sakina Karchaoui,26 January 1996,23,24,0,France Montpellier,France
8,MF,Grace Geyoro,2 July 1997,21,21,1,France Paris Saint-Germain,France
9,FW,Eugénie Le Sommer,18 May 1989,30,159,73,France Lyon,France
10,DF,Amel Majri,25 January 1993,26,46,4,France Lyon,France
11,FW,Kadidiatou Diani,1 April 1995,24,46,5,France Paris Saint-Germain,France
12,FW,Emelyne Laurent,4 November 1998,20,4,0,France Guingamp,France
13,FW,Valérie Gauvin,1 June 1996,23,18,10,France Montpellier,France
14,MF,Charlotte Bilbault,5 June 1990,29,15,0,France Paris FC,France
15,MF,Élise Bussaglia,24 September 1985,33,187,29,France Dijon,France
16,GK,Sarah Bouhaddi,17 October 1986,32,140,0,France Lyon,France
17,MF,Gaëtane Thiney,28 October 1985,33,155,58,France Paris FC,France
18,FW,Viviane Asseyi,20 November 1993,25,31,4,France Bordeaux,France
19,DF,Griedge Mbock Bathy,26 February 1995,24,50,4,France Lyon,France
20,FW,Delphine Cascarino,5 February 1997,22,12,1,France ,France
21,GK,Pauline Peyraud-Magnin,17 March 1992,27,1,0,England Arsenal,France
22,DF,Julie Debever,18 April 1988,31,2,0,France Guingamp,France
23,MF,Maéva Clemaron,10 November 1992,26,3,0,France Fleury,France
1,GK,Tochukwu Oluehi,2 May 1987,32,,,Nigeria Rivers Angels,Nigeria
2,MF,Amarachi Okoronkwo,12 December 1992,26,,,Nigeria Nasarawa Amazons,Nigeria
3,DF,Osinachi Ohale,21 December 1991,27,26,1,Sweden Växjö,Nigeria
4,DF,Ngozi Ebere,5 August 1991,27,20,1,Norway Arna-Bjørnar,Nigeria
5,DF,Onome Ebi,8 May 1983,36,81,0,China Henan Huishang,Nigeria
6,MF,Evelyn Nwabuoku,14 November 1985,33,42,3,Nigeria Rivers Angels,Nigeria
7,FW,Anam Imo,30 November 2000,18,,,Sweden Rosengård,Nigeria
8,FW,Asisat Oshoala,9 October 1994,24,17,11,Spain Barcelona,Nigeria
9,FW,Desire Oparanozie,17 December 1993,25,35,22,France Guingamp,Nigeria
10,MF,Rita Chikwelu,6 March 1988,31,33,15,Sweden Kristianstads,Nigeria
11,FW,Chinaza Uchendu,3 December 1997,21,,,Portugal Braga,Nigeria
12,FW,Uchenna Kanu,27 June 1997,21,1,0,United States Southeastern Fire,Nigeria
13,MF,Ngozi Okobi-Okeoghene,14 December 1993,25,27,4,Sweden Eskilstuna United,Nigeria
14,DF,Faith Michael,28 February 1987,32,53,0,Sweden Piteå,Nigeria
15,FW,Rasheedat Ajibade,8 December 1999,19,,,Norway Avaldsnes,Nigeria
16,GK,Chiamaka Nnadozie,8 December 2000,18,,,Nigeria Rivers Angels,Nigeria
