team,accurate_keeper_throws,goal_kicks,passes_left,total_launches,total_fwd_zone_pass,diving_save,leftside_pass,fwd_pass,attempts_conceded_ibox,attempts_conceded_obox,effective_clearance,ball_recovery,saved_obox,poss_lost_all,accurate_pass,keeper_pick_up,open_play_pass,saves,total_back_zone_pass,touches,stand_save,keeper_throws,rightside_pass,poss_lost_ctrl,total_pass,game_started,long_pass_own_to_opp,accurate_launches,accurate_chipped_pass,total_clearance,goals_conceded,total_long_balls,accurate_goal_kicks,total_chipped_pass,accurate_back_zone_pass,accurate_long_balls,mins_played,passes_right,successful_open_play_pass,final_third_entries,total_final_third_passes,goals_conceded_ibox,saved_ibox,winning_goal,times_tackled,formation_place,total_att_assist,long_pass_own_to_opp_success,interception,att_ibox_goal,att_lf_goal,poss_won_att3rd,total_cross_nocorner,pen_area_entries,duel_won,total_pull_back,duel_lost,ontarget_att_assist,accurate_throws,total_tackle,poss_won_def3rd,goal_assist_openplay,att_lf_total,dispossessed,big_chance_created,head_pass,total_scoring_att,interception_won,goal_assist_intentional,accurate_cross_nocorner,accurate_fwd_zone_pass,crosses18yard,att_bx_left,total_cross,poss_won_mid3rd,crosses18yardplus,attempts_ibox,attempted_tackle_foul,backward_pass,goals_openplay,head_clearance,lost_corners,att_goal_low_left,goals,att_openplay,put_through,total_contest,att_assist_openplay,won_contest,aerial_won,successful_final_third_passes,ontarget_scoring_att,goal_assist,touches_in_opp_box,offtarget_att_assist,total_throws,accurate_cross,effective_head_clearance,fouls,effective_blocked_cross,blocked_cross,challenge_lost,aerial_lost,offside_provoked,won_tackle,outfielder_block,was_fouled,unsuccessful_touch,turnover,att_bx_centre,att_miss_high_right,att_rf_total,total_sub_off,shot_off_target,successful_put_through,att_ibox_miss,att_corner,blocked_pass,total_offside,att_miss_left,att_hd_miss,att_hd_total,yellow_card,att_rf_target,total_corners_intobox,att_assist_setplay,won_corners,att_ibox_target,att_lf_target,att_sv_low_centre,accurate_corners_intobox,corner_taken,att_sv_high_centre,att_rf_goal,big_chance_scored,accurate_layoffs,total_layoffs,attempts_obox,att_goal_high_right,att_obx_centre,att_obox_target,assist_pass_lost,att_hd_goal,att_setpiece,att_miss_right,att_sv_low_right,att_ibox_blocked,att_goal_high_left,blocked_scoring_att,total_sub_on,fouled_final_third,total_flick_on,overrun,punches,dive_save,error_lead_to_goal,accurate_flick_on,interceptions_in_box,freekick_cross,accurate_through_ball,total_through_ball,att_bx_right,att_sv_low_left,att_sv_high_right,hand_ball,shield_ball_oop,att_obox_miss,att_miss_high_left,error_lead_to_shot,att_obox_blocked,att_obx_left,att_cmiss_right,att_obox_goal,shot_fastbreak,att_fastbreak,total_fastbreak,total_keeper_sweeper,goals_conceded_obox,accurate_keeper_sweeper,att_cmiss_left,att_goal_high_centre,att_one_on_one,big_chance_missed,att_freekick_total,six_yard_block,att_freekick_target,att_sv_high_left,att_miss_high,att_cmiss_high,clean_sheet,att_cmiss_high_left,att_goal_low_centre,goal_fastbreak,att_goal_low_right,att_hd_target,second_goal_assist,att_cmiss_high_right,pen_goals_conceded,penalty_faced,penalty_conceded,accurate_freekick_cross,goal_assist_deadball,goal_assist_setplay,good_high_claim,total_high_claim,att_pen_goal,att_obxd_right,assist_penalty_won,accurate_pull_back,penalty_won,att_obox_post,post_scoring_att,hit_woodwork,att_freekick_post,att_post_high,clearance_off_line,assist_attempt_saved,att_lg_right,att_ibox_post,last_man_tackle,penalty_save,dangerous_play,att_pen_target,att_hd_post,att_freekick_goal,assist_free_kick_won,att_obxd_left,att_post_right,att_freekick_miss,red_card,second_yellow,gk_smother,att_post_left,cross_not_claimed,att_obx_right,own_goals,stand_catch,assist_own_goal,assist_blocked_shot,dive_catch,att_lg_centre,foul_throw_in,assist_handball_won,att_pen_post,att_obp_goal,att_pen_miss,assist_post,att_lg_left,back_pass
CHI,117,209,744,284,4175,35,2007,3430,2618,1144,479,1561,30,3324,6718,178,8204,88,4919,13195,8,123,2001,3324,8807,242,1127,58,361,479,550,1070,159,791,4092,447,21780,1085,6280,1010,2004,495,58,6,454,1452,159,619,224,25,5,122,196,474,1036,14,1045,97,399,373,677,10,53,262,30,484,212,224,15,46,2699,116,18,287,569,56,148,138,1369,16,155,125,8,25,158,454,413,124,221,220,1244,69,16,387,62,495,73,155,230,34,34,183,192,67,244,81,222,400,400,75,7,128,90,85,205,47,42,205,31,28,18,31,26,25,91,19,98,36,13,15,27,98,2,13,13,91,104,64,4,63,8,0,7,6,17,6,34,2,58,90,32,96,34,16,16,3,23,27,24,14,28,19,17,2,12,7,31,14,5,24,1,5,0,8,8,8,9,55,8,2,3,1,21,4,9,0,2,12,3,39,3,3,1,5,6,0,1,44,6,6,6,4,6,15,15,2,0,2,5,2,1,7,9,0,2,1,0,0,6,2,0,0,0,0,0,0,0,5,2,0,0,8,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0
HOU,94,188,1095,377,3977,28,1874,3164,2491,903,438,1546,33,3432,5652,152,7309,92,4237,12138,5,96,1733,3432,7822,242,1267,67,372,438,197,1357,112,911,3464,547,21228,900,5325,1095,1928,164,58,6,391,1452,178,607,225,15,6,142,301,509,903,5,1067,106,466,366,590,9,98,215,17,567,273,225,9,52,2258,185,25,392,650,93,173,134,1051,13,143,139,5,16,212,415,331,156,155,198,1085,86,10,418,72,567,70,143,236,24,24,179,268,63,239,78,186,364,364,86,11,143,87,113,191,69,38,191,31,34,20,32,27,37,91,12,97,42,26,21,18,97,16,8,9,37,41,100,1,95,28,2,2,16,30,16,42,0,74,87,25,81,51,8,17,1,20,28,23,8,16,34,15,2,5,8,38,6,2,32,1,10,1,9,9,10,11,33,11,11,1,3,15,4,3,3,0,26,6,51,0,3,1,6,7,0,2,22,3,3,3,1,1,12,13,1,1,0,1,1,1,6,7,0,2,5,1,1,5,0,0,0,0,0,0,0,0,2,1,3,0,3,2,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0
KC,93,179,1042,290,4501,31,2037,3462,2178,1243,443,1631,30,3393,6559,142,8142,71,4548,13056,3,97,1950,3393,8718,242,1140,52,378,443,396,1143,149,916,3755,452,21780,1014,6132,1157,2458,330,39,8,385,1452,186,569,224,26,8,140,255,590,931,11,960,107,439,351,706,19,59,209,36,430,255,224,16,61,2890,168,27,331,608,66,175,101,1269,23,157,119,12,29,190,452,357,144,181,164,1547,97,20,518,79,571,86,157,207,29,29,202,180,36,221,83,238,399,399,113,10,168,87,101,200,64,38,200,34,27,14,28,27,46,77,22,97,44,16,24,25,97,11,19,20,40,51,80,2,78,24,0,2,16,36,11,40,1,57,87,47,62,35,8,18,3,14,15,21,23,37,18,14,3,13,14,35,4,7,17,0,12,3,10,10,10,7,66,7,13,1,9,28,7,13,3,5,22,5,37,2,8,0,5,6,0,5,33,4,4,9,1,1,35,35,4,0,2,4,2,1,2,4,0,0,2,1,0,1,0,1,0,0,1,0,0,2,1,4,0,0,1,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0
LA,88,168,1148,324,5120,31,1764,3651,2233,880,410,1646,23,3700,6235,135,8007,77,3898,13173,4,88,1862,3700,8485,242,1162,72,358,410,330,1028,128,839,3174,426,21780,1352,5856,1228,2751,275,54,7,431,1452,228,607,191,27,12,193,396,708,1125,18,1163,148,487,416,614,18,88,261,38,707,307,191,18,73,3173,290,38,533,694,76,223,123,1208,20,170,90,9,29,228,480,372,176,202,297,1771,105,24,621,79,615,112,170,234,29,29,198,318,26,261,49,212,391,391,103,6,162,97,106,199,70,54,199,53,37,20,55,29,43,137,27,162,53,16,24,39,162,13,12,14,48,59,84,5,80,23,3,3,16,28,9,68,5,96,97,46,139,25,8,14,2,43,11,30,8,25,28,13,7,13,7,30,8,6,28,0,12,2,7,7,9,3,55,2,19,0,1,32,5,13,1,10,21,10,27,2,6,2,4,17,0,1,55,5,5,7,5,6,10,11,1,1,1,4,1,1,6,8,0,1,0,1,0,5,0,0,0,1,0,0,0,0,1,4,0,0,1,4,0,2,0,2,1,0,1,1,1,0,0,2,0,0,0,0
LOU,124,187,1334,245,4492,38,1878,3383,2371,1480,396,1678,38,3223,6303,153,7676,88,4157,12722,4,126,1756,3223,8217,242,1181,54,372,396,263,1068,140,869,3509,437,21749,822,5913,1131,2316,252,50,4,385,1452,236,636,245,20,7,140,331,626,1014,13,1035,142,390,357,706,7,118,210,25,444,321,245,8,69,2890,208,28,432,659,93,191,111,1200,13,145,107,8,23,234,407,360,196,185,209,1503,110,10,500,94,484,96,145,239,22,22,211,220,41,218,98,265,411,411,118,12,161,90,126,213,71,54,213,50,32,20,41,32,41,101,30,119,50,32,21,27,119,15,12,11,31,43,130,2,127,37,0,4,19,41,13,45,2,85,90,58,80,31,11,12,2,21,25,30,7,20,24,25,5,16,7,47,6,2,40,2,14,3,8,8,9,4,11,4,10,1,2,24,8,9,3,8,27,4,40,0,0,2,10,14,1,2,33,3,3,9,2,3,20,20,5,1,3,7,5,3,8,10,1,5,3,0,0,5,0,0,2,0,0,0,0,0,1,2,2,1,0,2,1,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0
NC,77,156,970,269,5147,21,2686,3520,1746,832,303,1453,18,3015,9042,107,10487,51,6107,14846,2,77,2826,3015,10961,231,1131,45,296,303,219,1089,113,769,5395,450,20291,1350,8697,1171,2601,208,33,9,386,1386,177,655,205,22,3,151,225,538,924,11,947,112,437,372,572,22,47,223,20,394,235,205,17,40,3709,160,21,293,612,51,167,103,1929,24,110,89,8,26,184,396,360,141,197,154,1777,86,22,502,65,510,62,110,193,25,25,162,222,33,243,70,201,328,328,95,13,159,75,89,174,61,32,174,46,24,20,29,21,36,71,14,92,43,19,26,25,92,4,23,12,99,110,68,3,67,17,0,0,10,29,14,37,3,60,75,32,82,32,10,8,1,20,18,14,18,28,24,12,3,11,10,23,4,3,23,0,9,4,9,9,12,8,11,7,5,2,1,19,6,5,3,1,14,6,77,0,4,3,6,5,0,1,22,2,2,4,0,0,11,13,1,0,0,5,2,1,5,6,0,2,3,0,0,4,0,0,0,0,0,1,1,1,1,1,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
NJY,76,140,1161,311,5342,31,2109,3642,1661,605,359,1686,15,3730,7048,144,8886,58,4428,14009,1,80,2099,3730,9412,242,1398,71,401,359,264,1235,88,997,3731,510,21779,1400,6674,1358,2854,242,42,8,447,1452,234,737,225,20,7,200,256,648,1129,11,1147,140,460,406,576,12,108,240,16,699,314,225,9,56,3399,163,34,358,759,73,193,118,1562,17,111,75,8,25,250,472,445,200,238,280,1769,108,13,664,94,610,82,111,239,22,22,194,280,74,261,51,207,425,425,96,15,173,95,118,246,63,43,246,29,30,15,32,39,46,103,21,136,48,27,34,27,136,10,18,16,55,65,121,3,118,35,2,0,7,32,12,53,2,88,95,36,148,35,9,12,2,34,14,20,3,10,33,15,7,11,12,45,7,8,35,0,11,5,5,5,5,27,22,24,7,3,1,18,6,10,0,5,24,5,42,2,0,0,9,9,2,4,0,0,0,2,1,1,7,7,4,0,3,4,4,1,10,18,0,3,2,1,0,9,3,0,0,0,1,1,1,1,3,2,0,0,3,4,0,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0
ORL,89,151,1004,248,4257,27,1813,3183,2021,1129,394,1582,36,3234,6027,158,7481,85,4124,12513,11,89,1800,3234,7990,242,1111,44,351,394,307,1080,105,825,3423,451,21693,878,5663,1071,2154,285,49,10,448,1452,208,611,199,25,7,158,273,519,1176,5,1116,125,446,455,649,14,79,244,25,507,291,199,16,55,2701,193,29,391,596,59,190,130,1194,17,141,113,10,26,225,429,433,161,229,261,1336,103,18,552,83,515,97,141,233,29,29,216,233,38,286,74,233,395,395,101,16,158,88,107,206,68,42,206,34,25,29,54,24,44,118,29,122,44,26,33,42,122,11,13,14,53,63,101,1,98,33,0,6,14,27,9,47,3,81,88,50,88,31,6,10,3,30,13,21,8,23,30,17,2,7,13,32,6,5,34,1,9,1,13,13,14,8,22,8,5,1,1,24,6,7,1,5,26,7,48,2,3,1,8,7,0,1,33,4,4,9,3,4,21,26,4,1,1,1,3,1,7,12,0,3,3,0,0,6,0,1,1,0,3,1,1,0,1,1,1,0,3,3,0,0,2,4,1,2,2,1,0,1,0,0,0,0,0,0
POR,59,196,1263,319,5110,31,2259,3717,2084,900,439,1621,19,3344,7358,111,8967,68,4744,13993,4,60,2134,3344,9489,242,1325,81,379,439,351,1204,124,812,4017,521,21707,975,7022,1159,2631,319,49,10,381,1452,289,765,211,35,17,171,258,660,1065,13,983,184,464,439,663,25,115,208,42,472,377,211,24,49,3422,163,50,365,647,81,250,93,1379,33,175,126,14,42,307,476,404,232,231,226,1740,149,31,665,105,548,81,175,161,37,37,215,236,18,288,73,176,388,388,129,9,220,98,135,246,85,53,246,39,43,23,41,20,71,109,26,120,71,26,33,33,120,14,22,31,69,74,127,3,126,36,2,3,12,42,17,52,2,93,98,24,96,36,11,12,4,36,20,14,13,35,36,27,9,9,6,41,12,1,41,1,19,7,16,16,18,1,32,0,18,2,1,24,1,11,1,7,20,8,37,4,12,2,9,9,1,0,33,3,3,4,4,6,29,30,2,0,1,7,2,2,9,12,0,3,0,2,0,7,1,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
RGN,90,159,1016,451,4815,17,2043,3499,1683,1081,373,1611,25,3417,6728,139,8568,66,4618,13179,4,91,2101,3417,9023,242,1279,107,470,373,264,1379,118,999,3885,583,21735,1086,6385,1319,2463,209,41,9,308,1452,195,693,254,24,4,179,339,663,1118,4,1023,123,442,400,573,18,58,195,34,805,263,254,17,70,2944,170,28,410,701,139,170,117,1380,19,143,100,8,28,190,408,273,147,160,364,1437,94,22,461,72,546,101,143,229,23,23,216,283,24,252,64,198,336,336,104,6,151,93,101,208,60,44,208,44,27,21,53,32,36,72,26,85,41,17,23,31,85,7,14,17,65,76,93,3,88,25,0,10,16,33,10,42,0,68,93,51,203,20,9,5,5,57,14,30,17,28,16,16,3,10,8,36,6,2,26,0,14,4,6,6,6,8,55,6,5,2,2,23,9,5,2,7,24,5,49,2,6,0,9,13,0,0,11,1,1,10,1,4,19,20,3,0,2,1,3,2,5,6,0,2,1,0,1,3,2,0,0,1,1,0,0,2,2,4,1,0,2,1,0,0,0,2,1,1,1,2,0,1,0,0,0,0,0,0
