name,year,minutes,dob
 Abby Elinsky,2020 Fall Series,291.0,1996-01-08
 Abby Elinsky,2019,548.0,1996-01-08
 Abby Elinsky,2018,32.0,1996-01-08
 Alex Chidiac,2022,960.0,1999-01-15
 Andressinha,2019,438.0,1995-05-01
 Andressinha,2018,870.0,1995-05-01
 Andressinha,2017,1464.0,1995-05-01
 Andressinha,2016,1297.0,1995-05-01
 Camila,2019,579.0,1994-10-10
 Camila,2018,318.0,1994-10-10
 Camila,2017,1900.0,1994-10-10
 Celia,2022,1287.0,1995-06-20
 Celia,2022 Challenge Cup,176.0,1995-06-20
 Celia,2021,637.0,1995-06-20
 Celia,2021 Challenge Cup,360.0,1995-06-20
 Celia,2020 Challenge Cup,155.0,1995-06-20
 Celia,2019,956.0,1995-06-20
 Chelsee Washington,2022,36.0,1997-11-17
 Chelsee Washington,2022 Challenge Cup,37.0,1997-11-17
 Chelsee Washington,2021,138.0,1997-11-17
 Chelsee Washington,2021 Challenge Cup,1.0,1997-11-17
 Chelsee Washington,2020 Fall Series,191.0,1997-11-17
 Hannah Betfort,2022,140.0,1999-01-04
 Hannah Betfort,2022 Challenge Cup,5.0,1999-01-04
 Hannah Betfort,2021,1.0,1999-01-04
 Marta,2022 Challenge Cup,121.0,1986-02-19
 Marta,2021,1412.0,1986-02-19
 Marta,2021 Challenge Cup,351.0,1986-02-19
 Marta,2020 Fall Series,360.0,1986-02-19
 Marta,2019,1254.0,1986-02-19
 Marta,2018,1310.0,1986-02-19
 Marta,2017,2028.0,1986-02-19
 Monica,2018,1400.0,1987-04-21
 Monica,2017,1374.0,1987-04-21
 Monica,2016,1377.0,1987-04-21
 Poliana,2018,694.0,1991-02-06
 Poliana,2017,1474.0,1991-02-06
 Poliana,2016,1324.0,1991-02-06
 Quinn,2022,1278.0,1995-08-11
 Quinn,2022 Challenge Cup,457.0,1995-08-11
 Quinn,2021,699.0,1995-08-11
 Quinn,2021 Challenge Cup,258.0,1995-08-11
 Quinn,2020 Challenge Cup,202.0,1995-08-11
 Quinn,2019,357.0,1995-08-11
 Quinn,2018,1384.0,1995-08-11
 Rosana,2017,68.0,1982-07-07
 Taryn Torres,2022,832.0,1999-04-23
 Taryn Torres,2022 Challenge Cup,202.0,1999-04-23
Abby Dahlkemper,2022,568.0,1993-05-13
Abby Dahlkemper,2022 Challenge Cup,294.0,1993-05-13
Abby Dahlkemper,2021,720.0,1993-05-13
Abby Dahlkemper,2020 Fall Series,360.0,1993-05-13
Abby Dahlkemper,2020 Challenge Cup,360.0,1993-05-13
Abby Dahlkemper,2019,1470.0,1993-05-13
Abby Dahlkemper,2018,1890.0,1993-05-13
Abby Dahlkemper,2017,2250.0,1993-05-13
Abby Dahlkemper,2016,2040.0,1993-05-13
Abby Erceg,2022,1710.0,1989-11-20
Abby Erceg,2022 Challenge Cup,720.0,1989-11-20
Abby Erceg,2021,1650.0,1989-11-20
Abby Erceg,2020 Challenge Cup,450.0,1989-11-20
Abby Erceg,2019,1985.0,1989-11-20
Abby Erceg,2018,2340.0,1989-11-20
Abby Erceg,2017,2037.0,1989-11-20
Abby Erceg,2016,1714.0,1989-11-20
Abby Smith,2022,90.0,1993-10-04
Abby Smith,2022 Challenge Cup,180.0,1993-10-04
Abby Smith,2021,450.0,1993-10-04
Abby Smith,2021 Challenge Cup,180.0,1993-10-04
Abby Smith,2020 Fall Series,270.0,1993-10-04
Abby Smith,2020 Challenge Cup,360.0,1993-10-04
Abby Smith,2018,1512.0,1993-10-04
Abby Smith,2017,1710.0,1993-10-04
Abby Smith,2016,122.0,1993-10-04
Abi Kim,2022 Challenge Cup,26.0,1998-07-19
Abi Kim,2021,70.0,1998-07-19
Abi Kim,2021 Challenge Cup,18.0,1998-07-19
Addie McCain,2022,230.0,1999-08-28
Addie McCain,2022 Challenge Cup,289.0,1999-08-28
Addie McCain,2021,768.0,1999-08-28
Addie McCain,2021 Challenge Cup,14.0,1999-08-28
Addison Steiner,2019,146.0,1994-12-19
Addisyn Merrick,2022,997.0,1998-03-04
Addisyn Merrick,2022 Challenge Cup,352.0,1998-03-04
Addisyn Merrick,2021,45.0,1998-03-04
Addisyn Merrick,2020 Fall Series,277.0,1998-03-04
Addisyn Merrick,2020 Challenge Cup,315.0,1998-03-04
Adriana Leon,2018,185.0,1992-10-02
Adriana Leon,2017,1782.0,1992-10-02
Adriana Leon,2016,345.0,1992-10-02
Adrianna Franch,2022,2070.0,1990-11-12
Adrianna Franch,2022 Challenge Cup,450.0,1990-11-12
Adrianna Franch,2021,1080.0,1990-11-12
Adrianna Franch,2021 Challenge Cup,450.0,1990-11-12
Adrianna Franch,2019,1350.0,1990-11-12
Adrianna Franch,2018,1440.0,1990-11-12
Adrianna Franch,2017,2340.0,1990-11-12
Adrianna Franch,2016,540.0,1990-11-12
Adrienne Jordan,2020 Challenge Cup,18.0,1994-01-30
Alana Cook,2022,1800.0,1997-04-11
Alana Cook,2022 Challenge Cup,546.0,1997-04-11
Alana Cook,2021,1620.0,1997-04-11
Alana Cook,2020 Challenge Cup,180.0,1997-04-11
Alanna Stephanie Kennedy,2019,1349.0,1995-01-21
Alanna Stephanie Kennedy,2018,1800.0,1995-01-21
Alanna Stephanie Kennedy,2017,2191.0,1995-01-21
Alanna Stephanie Kennedy,2016,1538.0,1995-01-21
Alex Arlitt,2016,712.0,1993-08-25
Alex Morgan,2022,1647.0,1989-07-02
Alex Morgan,2022 Challenge Cup,415.0,1989-07-02
Alex Morgan,2021,929.0,1989-07-02
Alex Morgan,2021 Challenge Cup,180.0,1989-07-02
Alex Morgan,2019,395.0,1989-07-02
Alex Morgan,2018,1500.0,1989-07-02
Alex Morgan,2017,1148.0,1989-07-02
Alex Morgan,2016,1350.0,1989-07-02
Alexa Newfield,2019,25.0,1991-12-03
Alexa Newfield,2018,20.0,1991-12-03
Alexa Newfield,2017,661.0,1991-12-03
Alexa Newfield,2016,236.0,1991-12-03
Alexis Loera,2022,1947.0,1999-06-19
Alexis Loera,2022 Challenge Cup,493.0,1999-06-19
Ali Krieger,2022,1540.0,1984-07-28
Ali Krieger,2022 Challenge Cup,370.0,1984-07-28
Ali Krieger,2021,1518.0,1984-07-28
Ali Krieger,2021 Challenge Cup,269.0,1984-07-28
Ali Krieger,2020 Fall Series,360.0,1984-07-28
Ali Krieger,2019,1080.0,1984-07-28
Ali Krieger,2018,1675.0,1984-07-28
Ali Krieger,2017,2250.0,1984-07-28
Ali Krieger,2016,1507.0,1984-07-28
Ali Riley,2022,1589.0,1987-10-30
Ali Riley,2022 Challenge Cup,513.0,1987-10-30
Ali Riley,2021,1286.0,1987-10-30
Ali Riley,2021 Challenge Cup,360.0,1987-10-30
Alli Murphy,2018,13.0,1994-05-13
Allie Long,2021,2059.0,1987-08-13
Allie Long,2021 Challenge Cup,135.0,1987-08-13
Allie Long,2020 Fall Series,198.0,1987-08-13
Allie Long,2020 Challenge Cup,223.0,1987-08-13
Allie Long,2019,1343.0,1987-08-13
Allie Long,2018,1799.0,1987-08-13
Allie Long,2017,1608.0,1987-08-13
Allie Long,2016,1470.0,1987-08-13
Ally Haran,2020 Fall Series,7.0,1996-05-21
Ally Prisock,2022,2063.0,1997-01-18
Ally Prisock,2022 Challenge Cup,225.0,1997-01-18
Ally Prisock,2021,211.0,1997-01-18
Ally Prisock,2021 Challenge Cup,206.0,1997-01-18
Ally Prisock,2020 Fall Series,273.0,1997-01-18
Ally Prisock,2020 Challenge Cup,354.0,1997-01-18
Ally Prisock,2019,1323.0,1997-01-18
Ally Watt,2022,617.0,1997-03-12
Ally Watt,2022 Challenge Cup,383.0,1997-03-12
Ally Watt,2021,35.0,1997-03-12
Ally Watt,2020 Challenge Cup,13.0,1997-03-12
Allysha Chapman,2022,1122.0,1989-01-25
Allysha Chapman,2022 Challenge Cup,423.0,1989-01-25
Allysha Chapman,2021,1229.0,1989-01-25
Allysha Chapman,2021 Challenge Cup,154.0,1989-01-25
Allysha Chapman,2020 Fall Series,233.0,1989-01-25
Allysha Chapman,2020 Challenge Cup,540.0,1989-01-25
Allysha Chapman,2019,1216.0,1989-01-25
Allysha Chapman,2018,1349.0,1989-01-25
Allysha Chapman,2017,1642.0,1989-01-25
Allysha Chapman,2016,711.0,1989-01-25
Allyson Swaby,2022,21.0,1996-10-03
Allyson Swaby,2022 Challenge Cup,99.0,1996-10-03
Almuth Schult,2022,90.0,1991-02-09
Alyssa Kleiner,2018,414.0,1993-04-01
Alyssa Kleiner,2017,997.0,1993-04-01
Alyssa Kleiner,2016,1209.0,1993-04-01
Alyssa Mautz,2022 Challenge Cup,143.0,1989-07-29
Alyssa Mautz,2021,307.0,1989-07-29
Alyssa Mautz,2019,216.0,1989-07-29
Alyssa Mautz,2018,1796.0,1989-07-29
Alyssa Mautz,2017,1371.0,1989-07-29
Alyssa Mautz,2016,1037.0,1989-07-29
Alyssa Naeher,2022,1830.0,1988-04-20
Alyssa Naeher,2022 Challenge Cup,540.0,1988-04-20
Alyssa Naeher,2021,630.0,1988-04-20
Alyssa Naeher,2021 Challenge Cup,180.0,1988-04-20
Alyssa Naeher,2020 Fall Series,360.0,1988-04-20
Alyssa Naeher,2020 Challenge Cup,450.0,1988-04-20
Alyssa Naeher,2019,1440.0,1988-04-20
Alyssa Naeher,2018,2070.0,1988-04-20
Alyssa Naeher,2017,1980.0,1988-04-20
Alyssa Naeher,2016,1290.0,1988-04-20
Amanda DaCosta,2017,382.0,1989-10-07
Amanda DaCosta,2016,707.0,1989-10-07
Amanda Dennis,2021,90.0,1998-05-25
Amanda Frisbie,2018,1285.0,1992-05-29
Amanda Frisbie,2017,751.0,1992-05-29
Amanda Frisbie,2016,270.0,1992-05-29
Amanda Kowalski,2022,1166.0,1998-09-01
Amanda Kowalski,2022 Challenge Cup,227.0,1998-09-01
Amandine Henry,2017,1786.0,1989-09-28
Amandine Henry,2016,758.0,1989-09-28
Amandine Pierre-Louis,2019,168.0,1995-02-18
Amandine Pierre-Louis,2018,44.0,1995-02-18
Amber Brooks,2022,1032.0,1991-01-23
Amber Brooks,2022 Challenge Cup,240.0,1991-01-23
Amber Brooks,2021,313.0,1991-01-23
Amber Brooks,2021 Challenge Cup,199.0,1991-01-23
Amber Brooks,2020 Fall Series,360.0,1991-01-23
Amber Brooks,2020 Challenge Cup,270.0,1991-01-23
Amber Brooks,2019,2160.0,1991-01-23
Amber Brooks,2018,2160.0,1991-01-23
Amber Brooks,2017,2070.0,1991-01-23
Amber Brooks,2016,1085.0,1991-01-23
Aminata Diallo,2020 Fall Series,288.0,1995-04-03
Aminata Diallo,2020 Challenge Cup,180.0,1995-04-03
Amirah Ali,2022,559.0,1998-12-07
Amirah Ali,2022 Challenge Cup,187.0,1998-12-07
Amy Harrison,2019,508.0,1996-04-21
Amy Rodriguez,2021,1626.0,1987-02-17
Amy Rodriguez,2021 Challenge Cup,360.0,1987-02-17
Amy Rodriguez,2020 Fall Series,307.0,1987-02-17
Amy Rodriguez,2020 Challenge Cup,355.0,1987-02-17
Amy Rodriguez,2019,2090.0,1987-02-17
Amy Rodriguez,2018,1301.0,1987-02-17
Amy Rodriguez,2017,57.0,1987-02-17
Amy Turner,2022 Challenge Cup,304.0,1991-07-04
Amy Turner,2021,893.0,1991-07-04
Ana-Maria Crnogorcevic,2019,761.0,1990-10-03
Ana-Maria Crnogorcevic,2018,1519.0,1990-10-03
Andi Sullivan,2022,752.0,1995-12-20
Andi Sullivan,2022 Challenge Cup,291.0,1995-12-20
Andi Sullivan,2021,1652.0,1995-12-20
Andi Sullivan,2021 Challenge Cup,180.0,1995-12-20
Andi Sullivan,2020 Challenge Cup,302.0,1995-12-20
Andi Sullivan,2019,2070.0,1995-12-20
Andi Sullivan,2018,1984.0,1995-12-20
