team,avg_subs,sub_0_min,sub_1_min,sub_2_min,sub_3_min,sub_4_min,sub_0_count,sub_1_count,sub_2_count,sub_3_count,sub_4_count
CHI,4.090909090909091,56.95454545454545,67.13636363636364,73.42857142857143,76.0625,83.11111111111111,22,22,21,16,9
HOU,3.9545454545454546,54.54545454545455,64.75,76.55,81.86666666666666,91.0,22,20,20,15,9
KCC,3.9545454545454546,53.45454545454545,68.13636363636364,79.47619047619048,83.57142857142857,87.71428571428571,22,22,21,14,7
LA,4.409090909090909,57.27272727272727,64.31818181818181,70.27272727272727,78.84210526315789,82.08333333333333,22,22,22,19,12
LOU,4.090909090909091,57.13636363636363,67.72727272727273,73.28571428571429,84.11111111111111,84.14285714285714,22,22,21,18,7
NC,3.590909090909091,60.857142857142854,69.47619047619048,77.05555555555556,83.83333333333333,84.71428571428571,21,21,18,12,7
NJY,4.318181818181818,52.77272727272727,65.5909090909091,75.85714285714286,79.94444444444444,85.0,22,22,21,18,12
ORL,4.0,54.31818181818182,68.77272727272727,78.85714285714286,82.46666666666667,82.375,22,22,21,15,8
POR,4.454545454545454,55.59090909090909,65.4090909090909,70.42857142857143,76.61111111111111,80.53333333333333,22,22,21,18,15
RGN,4.2272727272727275,53.95454545454545,69.54545454545455,75.45,84.11111111111111,86.6,22,22,20,18,10
SD,4.045454545454546,53.86363636363637,63.86363636363637,75.81818181818181,83.82352941176471,84.0,22,22,22,17,6
WAS,3.5454545454545454,60.72727272727273,72.5909090909091,80.76470588235294,89.5,87.4,22,22,17,12,5
