,1,2,3,4,5,6,7,8,9,10,11,12
LA,0,0,0,0,0,5184,10368,31104,0,0,0,0
POR,32832,12096,1728,0,0,0,0,0,0,0,0,0
WAS,0,0,0,0,0,0,0,0,3456,13824,29376,0
HOU,0,0,2592,7776,23328,11664,1296,0,0,0,0,0
ORL,0,0,0,0,0,0,0,0,32832,12096,1728,0
CHI,0,0,0,0,2592,9072,19440,15552,0,0,0,0
RGN,10368,19008,13824,3456,0,0,0,0,0,0,0,0
KC,3456,8640,17280,13824,3456,0,0,0,0,0,0,0
SD,0,6912,11232,21600,6912,0,0,0,0,0,0,0
LOU,0,0,0,0,0,0,0,0,10368,20736,15552,0
NC,0,0,0,0,10368,20736,15552,0,0,0,0,0
NJNY,0,0,0,0,0,0,0,0,0,0,0,46656
