,4/27,5/1,5/8,5/15,5/23,5/30,6/7,6/12,6/19,7/3,7/10,7/17,8/2,8/7,8/14,8/20,8/28,9/4,9/11,9/18
NJNY,0.55,0.68,0.5,0.52,0.38,0.5,0.61,0.51,0.33,0.22,0.32,0.19,0.11,0.06,0.02,0.01,0,0,0,0
POR,0.7,0.79,0.79,0.77,0.61,0.63,0.73,0.88,0.94,0.94,0.94,0.98,0.99,0.99,0.99,0.99,0.97,0.97,0.99,0.99
LA,0.17,0.26,0.17,0.29,0.37,0.27,0.17,0.29,0.24,0.27,0.39,0.39,0.33,0.26,0.41,0.41,0.46,0.45,0.41,0.15
CHI,0.66,0.72,0.72,0.63,0.74,0.72,0.82,0.86,0.85,0.94,0.94,0.88,0.81,0.87,0.77,0.6,0.69,0.67,0.67,0.66
WAS,0.8,0.85,0.84,0.74,0.75,0.72,0.59,0.47,0.37,0.28,0.14,0.07,0.05,0.03,0.02,0.01,0,0,0,0
SD,0.28,0.37,0.57,0.69,0.75,0.71,0.71,0.72,0.88,0.95,0.92,0.88,0.96,0.92,0.8,0.9,0.97,0.97,0.92,0.99
NC,0.71,0.61,0.66,0.66,0.38,0.37,0.51,0.67,0.53,0.44,0.43,0.4,0.39,0.4,0.21,0.33,0.24,0.31,0.41,0.24
RGN,0.81,0.75,0.69,0.7,0.66,0.79,0.71,0.71,0.78,0.89,0.89,0.82,0.9,0.8,0.88,0.85,0.88,0.87,0.82,0.99
LOU,0.34,0.28,0.31,0.28,0.49,0.4,0.26,0.15,0.17,0.14,0.07,0.06,0.03,0.01,0.01,0.01,0.04,0,0,0
HOU,0.37,0.27,0.39,0.39,0.57,0.56,0.69,0.53,0.74,0.63,0.48,0.7,0.86,0.95,0.93,0.93,0.85,0.83,0.8,0.99
ORL,0.25,0.15,0.21,0.18,0.21,0.23,0.12,0.08,0.04,0.05,0.07,0.06,0.06,0.03,0.09,0.14,0,0.03,0,0.01
KC,0.36,0.27,0.15,0.15,0.09,0.1,0.08,0.13,0.13,0.25,0.41,0.57,0.51,0.68,0.87,0.82,0.9,0.9,0.98,0.98
