player_id,player_name,team
301468,Victoria ESSON,NZL
358189,C.J. BOTT,NZL
252502,Ali RILEY,NZL
355896,Rebekah STOTT,NZL
301461,Katie BOWEN,NZL
252519,Ria PERCIVAL,NZL
397010,Malia STEINMETZ,NZL
298792,Betsy HASSETT,NZL
395309,Jacqui HAND,NZL
321169,Hannah WILKINSON,NZL
430531,Indiah-Paige RILEY,NZL
301483,Erin NAYLER,NZL
396991,Anna LEAT,NZL
396994,Claudia BUNGE,NZL
397012,Michaela FOSTER,NZL
358194,Daisy CLEVERLEY,NZL
412900,Gabi RENNIE,NZL
252503,Annalie LONGO,NZL
323189,Olivia CHANCE,NZL
377262,Paige SATCHELL,NZL
397001,Grace JALE,NZL
377244,Elizabeth ANTON,NZL
443579,Milly CLEGG,NZL
420302,Aurora MIKALSEN,NOR
467645,Tuva HANSEN,NOR
295585,Maren MJELDE,NOR
467653,Thea BJELDE,NOR
467661,Mathilde HARVIKEN,NOR
420291,Ingrid SYRSTAD ENGEN,NOR
357273,Guro REITEN,NOR
420300,Frida MAANUM,NOR
338971,Caroline GRAHAM HANSEN,NOR
357281,Ada HEGERBERG,NOR
467658,Julie BLAKSTAD,NOR
387154,Cecilie FISKERSTRAND,NOR
296646,Guro PETTERSEN,NOR
357263,Anja SONSTEVOLD,NOR
467662,Sara HORTE,NOR
467657,Guro BERGSVAND,NOR
420304,Vilde BOE RISA,NOR
420305,Karina SAEVIK,NOR
357301,Amalie EIKELAND,NOR
467666,Marit BRATBERG LUND,NOR
328701,Emilie HAAVI,NOR
467664,Anna JOSENDAL,NOR
420294,Sophie ROMAN HAUG,NOR
386993,Mackenzie ARNOLD,AUS
386998,Steph CATLEY,AUS
386994,Alanna KENNEDY,AUS
467201,Clare HUNT,AUS
394063,Ellie CARPENTER,AUS
419884,Cortnee VINE,AUS
386995,Hayley RASO,AUS
386996,Katrina GORRY,AUS
419874,Kyra COONEY-CROSS,AUS
326979,Caitlin FOORD,AUS
419898,Mary FOWLER,AUS
225531,Lydia WILLIAMS,AUS
419880,Teagan MICAH,AUS
430530,Courtney NEVIN,AUS
326967,Aivi LUIK,AUS
251935,Clare POLKINGHORNE,AUS
419885,Clare WHEELER,AUS
387000,Alex CHIDIAC,AUS
326968,Emily VAN EGMOND,AUS
326972,Tameka YALLOP,AUS
326970,Kyah SIMON,AUS
326971,Sam KERR,AUS
430521,Charlotte GRANT,AUS
467606,Courtney BROSNAN,IRL
467593,Louise QUINN,IRL
414735,Niamh FAHEY,IRL
467589,Megan CONNOLLY,IRL
467628,Ruesha LITTLEJOHN,IRL
325659,Denise OSULLIVAN,IRL
326286,Katie McCABE,IRL
467598,Heather PAYNE,IRL
252134,Sinead FARRELLY,IRL
467611,Kyra CARUSA,IRL
467601,Marissa SHEVA,IRL
325657,Grace MOLONEY,IRL
381322,Megan WALSH,IRL
467600,Claire ORIORDAN,IRL
326289,Chloe MUSTAKI,IRL
264935,Diane CALDWELL,IRL
467602,Amber BARRETT,IRL
467625,Lily AGG,IRL
264956,Aine OGORMAN,IRL
467597,Lucy QUINN,IRL
467614,Abbie LARKIN,IRL
325652,Ciara GRANT,IRL
467621,Isibeal ATKINSON,IRL
397517,Chiamaka NNADOZIE,NGA
467687,Ashleigh PLUMPTRE,NGA
324238,Osinachi OHALE,NGA
443252,Blessing DEMEHIN,NGA
467678,Michelle ALOZIE,NGA
358532,Toni PAYNE,NGA
397528,Christy UCHEIBE,NGA
443245,Deborah ABIODUN,NGA
467684,Ifeoma ONUMONU,NGA
357650,Asisat OSHOALA,NGA
301727,Francisca ORDEGA,NGA
255691,Tochukwu OLUEHI,NGA
467679,Zainab BALOGUN,NGA
398353,Glory OGBONNA,NGA
190157,Onome EBI,NGA
413118,Gift MONDAY,NGA
358908,Uchenna KANU,NGA
467680,Jennifer ECHEGINI,NGA
