player,team,group_1,group_2,group_3,round_of_16,quarterfinals,semifinals,finals
Sarah Bouhaddi,France,90,90,90,120,90,,
Wendie Renard,France,90,90,90,120,90,,
Marion Torrent,France,90,90,0,108,90,,
Amandine Henry,France,90,90,90,120,90,,
Eugénie Le Sommer,France,90,90,29,120,81,,
Amel Majri,France,73,90,90,117,90,,
Kadidiatou Diani,France,90,90,28,120,90,,
Élise Bussaglia,France,90,90,0,120,90,,
Gaëtane Thiney,France,85,81,88,40,90,,
Griedge Mbock Bathy,France,90,90,90,120,90,,
Delphine Cascarino,France,69,6,61,31,15,,
Solène Durand,France,0,0,0,0,0,,
Pauline Peyraud-Magnin,France,0,0,0,0,0,,
Ève Périsset,France,17,0,90,12,0,,
Aïssatou Tounkara,France,0,0,0,0,0,,
Sakina Karchaoui,France,0,0,0,3,0,,
Grace Geyoro,France,5,0,2,0,0,,
Emelyne Laurent,France,0,0,0,0,0,,
Valérie Gauvin,France,21,84,62,89,75,,
Charlotte Bilbault,France,0,9,90,0,0,,
Viviane Asseyi,France,0,0,90,80,9,,
Julie Debever,France,0,0,0,0,0,,
Maéva Clemaron,France,0,0,0,0,0,,
Kim Minjung,Korea Republic,90,90,90,,,,
Hwang Bo-ram,Korea Republic,90,90,0,,,,
Kim Do-yeon,Korea Republic,90,90,90,,,,
Cho So-hyun,Korea Republic,90,90,90,,,,
Ji So-yun,Korea Republic,90,90,90,,,,
Jung Seol-bin,Korea Republic,85,55,0,,,,
Kang Yu-mi,Korea Republic,51,0,9,,,,
Lee Young-ju,Korea Republic,68,0,0,,,,
Jang Sel-gi,Korea Republic,90,90,90,,,,
Lee Geum-min,Korea Republic,90,90,90,,,,
Kim Hye-ri,Korea Republic,90,90,0,,,,
Kang Gaae,Korea Republic,0,0,0,,,,
Jeong Boram,Korea Republic,0,0,0,,,,
Lee Eun-mi,Korea Republic,0,0,78,,,,
Jeong Yeonga,Korea Republic,0,0,12,,,,
Lim Seon-joo,Korea Republic,0,0,0,,,,
Lee Min-ah,Korea Republic,22,55,25,,,,
Moon Mi-ra,Korea Republic,0,35,81,,,,
Yeo Min-ji,Korea Republic,5,35,90,,,,
Shin Damyeong,Korea Republic,0,0,90,,,,
Lee So-dam,Korea Republic,0,15,0,,,,
Son Hwa-yeon,Korea Republic,0,0,0,,,,
Kang Chae-rim,Korea Republic,39,75,65,,,,
Almuth Schult,Germany,90,90,90,90,90,,
Carolin Simon,Germany,45,0,45,45,42,,
Kathrin Hendrich,Germany,90,45,0,0,0,,
Marina Hegering,Germany,90,90,90,90,90,,
Svenja Huth,Germany,85,90,58,90,90,,
Dzsenifer Marozsán,Germany,90,0,0,0,45,,
Alexandra Popp,Germany,90,90,90,90,90,,
Sara Däbritz,Germany,90,90,90,90,90,,
Giulia Gwinn,Germany,90,90,90,90,90,,
Melanie Leupolz,Germany,62,11,90,45,0,,
Sara Doorsoun,Germany,90,90,90,90,90,,
Laura Benkarth,Germany,0,0,0,0,0,,
Merle Frohms,Germany,0,0,0,0,0,,
Leonie Maier,Germany,0,0,0,0,48,,
Lena Oberdorf,Germany,45,64,0,22,21,,
Lea Schüller,Germany,5,0,25,90,69,,
Lena Goeßling,Germany,0,79,0,0,0,,
Johanna Elsig,Germany,0,0,0,0,0,,
Linda Dallmann,Germany,0,0,32,0,45,,
Verena Faißt,Germany,0,90,45,45,0,,
Klara Bühl,Germany,0,45,65,45,0,,
Lina Magull,Germany,28,26,90,68,90,,
Turid Knaak,Germany,0,0,0,0,0,,
Peng Shimeng,China PR,90,90,90,90,,,
Liu Shanshan,China PR,90,90,90,90,,,
Lin Yuping,China PR,90,90,90,90,,,
Lou Jiahui,China PR,32,26,0,0,,,
Wu Haiyan,China PR,90,90,90,90,,,
Han Peng,China PR,90,90,90,90,,,
Yang Li,China PR,68,10,45,45,,,
Wang Shanshan,China PR,90,90,45,60,,,
Gu Yasha,China PR,90,64,86,45,,,
Zhang Rui,China PR,90,90,90,90,,,
Yao Wei,China PR,45,13,4,29,,,
Xu Huan,China PR,0,0,0,0,,,
Bi Xiaolin,China PR,0,0,0,0,,,
Wang Shuang,China PR,45,90,55,90,,,
Li Jiayue,China PR,0,0,0,0,,,
Li Ying,China PR,0,77,90,90,,,
Wang Yan,China PR,0,80,90,61,,,
Wang Ying,China PR,0,0,0,0,,,
Song Duan,China PR,22,0,0,30,,,
Li Wen,China PR,0,0,35,0,,,
Tan Ruyin,China PR,58,0,0,0,,,
Luo Guiping,China PR,0,0,0,0,,,
Liu Yanqiu,China PR,0,0,0,0,,,
Sandra Paños,Spain,90,90,90,90,,,
Irene Paredes,Spain,90,90,90,90,,,
Vicky Losada,Spain,45,0,0,31,,,
Marta Corredera,Spain,90,90,90,90,,,
Marta Torrejón,Spain,90,90,0,0,,,
Mariona Caldentey,Spain,90,58,45,7,,,
Jennifer Hermoso,Spain,90,90,90,90,,,
Alexia Putellas,Spain,72,76,24,78,,,
Virginia Torrecilla,Spain,90,90,90,83,,,
Mapi León,Spain,90,90,90,90,,,
Amanda Sampedro,Spain,45,0,0,0,,,
Dolores Gallardo,Spain,0,0,0,0,,,
María Asunción Quiñones,Spain,0,0,0,0,,,
Celia Jiménez,Spain,0,0,5,0,,,
Leila Ouahabi,Spain,0,0,90,90,,,
Ivana Andrés,Spain,0,0,0,0,,,
Patricia Guijarro,Spain,0,25,90,90,,,
Silvia Meseguer,Spain,0,65,0,0,,,
Lucía García,Spain,45,32,85,90,,,
Aitana Bonmatí,Spain,45,14,0,0,,,
Andrea Pereira,Spain,0,0,0,0,,,
Andrea Sánchez Falcón,Spain,0,0,45,12,,,
Nahikari García,Spain,18,90,66,59,,,
Andile Dlamini,South Africa,90,0,90,,,,
Lebohang Ramalepe,South Africa,90,90,90,,,,
Nothando Vilakazi,South Africa,81,0,90,,,,
Noko Matlou,South Africa,90,90,90,,,,
Janine van Wyk,South Africa,90,90,90,,,,
Ode Fulutudilu,South Africa,76,59,45,,,,
Amanda Mthandi,South Africa,55,0,45,,,,
Linda Motlhalo,South Africa,51,9,0,,,,
Thembi Kgatlana,South Africa,90,90,45,,,,
Refiloe Jane,South Africa,90,81,90,,,,
Kholosa Biyana,South Africa,90,90,88,,,,
Mapaseka Mpuru,South Africa,0,0,0,,,,
Kaylin Swart,South Africa,0,90,0,,,,
Mamello Makhabane,South Africa,0,90,90,,,,
Karabo Dhlamini,South Africa,0,0,0,,,,
Jermaine Seoposenwe,South Africa,35,31,0,,,,
Bambanani Mbane,South Africa,0,90,0,,,,
Tiisetso Makhubela,South Africa,0,0,0,,,,
Leandra Smeda,South Africa,14,19,2,,,,
Bongeka Gamede,South Africa,0,0,0,,,,
Busisiwe Ndimeni,South Africa,39,0,90,,,,
Rhoda Mulaudzi,South Africa,0,0,45,,,,
Sibulele Holweni,South Africa,0,71,0,,,,
Ingrid Hjelmseth,Norway,90,90,90,120,90,,
Ingrid Moe Wold,Norway,90,85,90,101,84,,
Maria Thorisdottir,Norway,90,90,90,120,90,,
Maren Mjelde,Norway,90,90,90,120,90,,
Vilde Bøe Risa,Norway,83,89,90,120,90,,
Isabell Herlovsen,Norway,90,90,68,76,90,,
Caroline Graham Hansen,Norway,90,90,53,120,90,,
Lisa-Marie Karlseng Utland,Norway,79,15,45,44,27,,
Ingrid Syrstad Engen,Norway,90,90,90,120,90,,
Guro Reiten,Norway,89,90,90,120,73,,
Kristine Minde,Norway,90,90,90,120,90,,
Cecilie Fiskerstrand,Norway,0,0,0,0,0,,
Oda Bogstad,Norway,0,0,0,0,0,,
